	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2
ssl0787_4	0	1	0	0
sll1330_35	0	0	0	1
sll1333_89	0	0	0	1
sll1333_108	0	1	0	0
sll1334_177	1	0	0	0
sll1334_149	0	0	1	0
pth_100	0	1	0	0
dnaJ3_46	0	0	0	1
pta_114	0	0	1	0
norA_11	0	0	1	1
slr0019_74	0	0	1	0
slr0016_233	1	0	0	0
slr1512_88	1	0	0	0
slr1512_49	0	0	1	0
slr1515_9	1	0	0	0
ssl1378_9	0	0	0	1
ssl1378_39	1	0	0	0
sll1426_82	0	1	0	0
sll1428_79	0	0	1	1
atpI_11	0	0	0	1
pfkA_31	1	1	0	0
ureB_31	0	1	0	0
hemH_77	1	0	0	0
ureD_145	0	0	1	0
hemD_40	0	0	0	1
ssr1513_10	1	0	1	0
dcoH_7	0	1	0	0
ntcB_82	0	1	0	1
slr1168_44	1	1	0	0
slr1169_91	1	1	0	0
sll1371_94	1	0	0	0
ssr6089_154	1	0	0	0
ssl1045_41	0	0	1	0
ssl1045_91	0	1	1	0
ssl5099_217	0	0	1	0
nrtB_46	0	1	0	0
nrtD_140	0	0	1	0
sppA2_10	0	0	1	0
sll0284_8	0	1	0	0
sll1671_7	0	0	0	1
sll0688_66	0	1	0	0
thrC2_22	0	0	0	1
sll0687_58	0	0	1	0
sll0687_83	1	0	0	0
sll0444_99	0	1	0	0
sll0446_8	1	0	1	0
sll0844_58	0	0	0	1
sll0846_10	0	0	1	0
sll0847_60	0	0	1	1
sll0669_27	1	1	0	0
sll1247_64	0	0	1	0
sll1247_46	0	0	1	0
slr0978_70	1	0	0	0
slr0977_94	0	0	1	0
slr0975_102	1	1	1	0
ssl5015_99	1	0	0	0
